"longitude","latitude","oco2_frk_xco2","oco2_frk_sd","date"
-16.5,28.5,397.393209208514,0.365889713217484,2014-12-01
-16.5,28.5,397.162119483276,0.351788836231226,2014-12-02
-16.5,28.5,397.431490659373,0.363278872660241,2014-12-03
-16.5,28.5,397.572264122594,0.295382366197787,2014-12-04
-16.5,28.5,397.950266126607,0.396151005302275,2014-12-05
-16.5,28.5,397.899542526096,0.409204834980505,2014-12-06
-16.5,28.5,397.936589722708,0.428931855208982,2014-12-07
-16.5,28.5,398.241142688348,0.445245751764015,2014-12-08
-16.5,28.5,399.063428878579,0.474008019477796,2014-12-09
-16.5,28.5,399.905244387856,0.508390223288965,2014-12-10
-16.5,28.5,400.316339312553,0.523922420818507,2014-12-11
-16.5,28.5,399.888062620734,0.579972340243243,2014-12-12
-16.5,28.5,399.095101908506,0.632961257945945,2014-12-13
-16.5,28.5,398.334475180046,0.681110247515077,2014-12-14
-16.5,28.5,397.932962677654,0.722671516270311,2014-12-15
-16.5,28.5,397.927188683957,0.737654413350375,2014-12-16
-16.5,28.5,398.066657035175,0.763612308834759,2014-12-17
-16.5,28.5,398.578021138802,0.826286135390654,2014-12-18
-16.5,28.5,399.42933665772,0.903268320293441,2014-12-19
-16.5,28.5,400.663242756132,1.01220033768368,2014-12-20
-16.5,28.5,402.241562165569,0.97643199969665,2014-12-21
-16.5,28.5,402.828442510699,0.921092226700916,2014-12-22
-16.5,28.5,402.165964434521,0.845709517559503,2014-12-23
-16.5,28.5,400.5542929872,0.758316179642018,2014-12-24
-16.5,28.5,398.917658179308,0.69736014562226,2014-12-25
-16.5,28.5,397.961038115661,0.634040571258944,2014-12-26
-16.5,28.5,397.874550197196,0.584914415847105,2014-12-27
-16.5,28.5,398.317828593921,0.533626554325819,2014-12-28
-16.5,28.5,398.567450625312,0.498973298144272,2014-12-29
-16.5,28.5,398.501196689461,0.486457302437477,2014-12-30
-16.5,28.5,398.85689472611,0.465989667632665,2014-12-31
-16.5,28.5,399.612074716027,0.459793117897964,2015-01-01
-16.5,28.5,400.463160613988,0.450793159939649,2015-01-02
