"longitude","latitude","oco2_frk_xco2","oco2_frk_sd","date"
143.5,43.5,398.906224255101,0.469425220304919,2014-12-01
143.5,43.5,398.885485064063,0.372281803855698,2014-12-02
143.5,43.5,398.677767174804,0.446731935663469,2014-12-03
143.5,43.5,398.557311383,0.552958838471739,2014-12-04
143.5,43.5,398.674831853361,0.615797060281148,2014-12-05
143.5,43.5,399.065726589268,0.600770657399454,2014-12-06
143.5,43.5,399.519988540463,0.567354070609385,2014-12-07
143.5,43.5,399.811266547802,0.598952113249649,2014-12-08
143.5,43.5,399.669578478359,0.667982201393123,2014-12-09
143.5,43.5,399.460794263091,0.765989293273468,2014-12-10
143.5,43.5,399.033719506724,0.829623256723944,2014-12-11
143.5,43.5,398.736544495843,0.860190923852381,2014-12-12
143.5,43.5,398.632174583587,1.01944937392837,2014-12-13
143.5,43.5,398.69283123769,1.20999617136104,2014-12-14
143.5,43.5,399.073244859978,1.34687666963166,2014-12-15
143.5,43.5,399.473457832199,1.49151856955369,2014-12-16
143.5,43.5,399.786124885994,1.60484366104565,2014-12-17
143.5,43.5,399.818683577788,1.67904613096611,2014-12-18
143.5,43.5,399.576587139441,1.75258766340724,2014-12-19
143.5,43.5,399.254140712659,1.64837493911924,2014-12-20
143.5,43.5,398.893146614642,1.76029790526947,2014-12-21
143.5,43.5,398.467574319363,1.66431607093178,2014-12-22
143.5,43.5,398.327018139418,1.54607764617303,2014-12-23
143.5,43.5,398.794616545924,1.45806912346576,2014-12-24
143.5,43.5,399.660689155713,1.42296702899021,2014-12-25
143.5,43.5,400.902768306373,1.41622000636969,2014-12-26
143.5,43.5,402.116012242381,1.37714792044261,2014-12-27
143.5,43.5,402.500134919798,1.32661968215815,2014-12-28
143.5,43.5,402.38163987548,1.28106761571434,2014-12-29
143.5,43.5,401.640148237725,1.27814767930868,2014-12-30
143.5,43.5,400.76492251337,1.25114966958291,2014-12-31
143.5,43.5,399.577247541233,1.17663573926158,2015-01-01
143.5,43.5,398.561952683473,1.08539299495384,2015-01-02
143.5,43.5,397.64825537707,1.08181478567627,2015-01-03
143.5,43.5,397.009806923667,1.23323212053855,2015-01-04
143.5,43.5,396.993022732245,1.39003663331546,2015-01-05
143.5,43.5,397.742442019077,1.28531793026236,2015-01-06
143.5,43.5,397.995407673595,1.35454765235347,2015-01-07
143.5,43.5,398.336679223296,1.28968872908754,2015-01-08
143.5,43.5,398.718091348455,1.1228740728012,2015-01-09
143.5,43.5,399.148661384431,0.949558245586705,2015-01-10
143.5,43.5,399.806807505817,0.806247256221895,2015-01-11
143.5,43.5,400.388579064904,0.749226157150608,2015-01-12
143.5,43.5,400.665200769695,0.72846345455221,2015-01-13
143.5,43.5,400.665419790886,0.848959410634818,2015-01-14
